                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5586,                0.84749,                 1.1389,                0.78575,                    0.8,                0.75157,                0.51546,                 1.2588,                0.71439,                 1.1905,              0.0059163,              0.0059163,              0.0059163
                     35,                 1.5947,                0.88114,                 1.1626,                0.81337,                    0.9,                0.87782,                0.54748,                 1.2243,                0.75361,                 1.1566,              0.0057925,              0.0057925,              0.0057925
                     36,                 1.6175,                0.87289,                 1.2017,                0.89775,                0.84307,                0.89422,                0.48561,                 1.4525,                0.80789,                 1.2305,              0.0056688,              0.0056688,              0.0056688
                     37,                 1.5688,                0.84591,                 1.1711,                0.87496,                0.88977,                 0.8964,                 0.4785,                 1.3832,                0.69034,                 1.2052,               0.005545,               0.005545,               0.005545
                     38,                 1.5626,                0.85284,                 1.1556,                0.86876,                0.82588,                0.87426,                0.54308,                 1.2006,                0.72235,                 1.1602,              0.0054212,              0.0054212,              0.0054212
                     39,                 1.5315,                0.80968,                 1.1584,                0.90243,                0.83333,                0.89742,                0.49497,                 1.4153,                0.75072,                   1.21,              0.0052975,              0.0052975,              0.0052975
                     40,                 1.5528,                0.82699,                 1.1593,                0.81572,                0.86574,                 0.8304,                0.54243,                 1.1162,                 0.6937,                 1.1214,              0.0051737,              0.0051737,              0.0051737
                     41,                 1.4967,                0.79387,                 1.1371,                0.94563,                0.76529,                0.84075,                0.60089,                  1.084,                0.71207,                 1.1425,                0.00505,                0.00505,                0.00505
                     42,                 1.5132,                0.79588,                 1.1554,                0.88443,                    0.8,                0.84315,                 0.5603,                 1.1337,                0.69617,                 1.1652,              0.0049263,              0.0049263,              0.0049263
                     43,                 1.5115,                0.79217,                 1.1477,                0.74274,                0.86414,                0.78968,                0.51543,                 1.2284,                0.75336,                 1.1597,              0.0048025,              0.0048025,              0.0048025
                     44,                 1.5098,                 0.7838,                 1.1377,                0.76219,                0.85205,                0.82874,                0.55055,                  1.217,                 0.7326,                 1.1875,              0.0046788,              0.0046788,              0.0046788
                     45,                 1.5165,                0.78248,                  1.138,                0.95115,                    0.8,                0.85304,                0.51497,                 1.3698,                0.75899,                 1.2069,               0.004555,               0.004555,               0.004555
                     46,                 1.5223,                 0.7989,                 1.1484,                0.84192,                0.86245,                0.83135,                0.50225,                 1.2631,                0.79168,                 1.1592,              0.0044313,              0.0044313,              0.0044313
                     47,                 1.4804,                0.77812,                 1.1142,                0.84625,                0.86667,                0.87497,                0.56575,                 1.1904,                0.67064,                 1.1545,              0.0043075,              0.0043075,              0.0043075
                     48,                 1.4788,                  0.775,                   1.14,                0.78178,                    0.9,                0.86838,                0.55209,                 1.1576,                0.62514,                 1.1445,              0.0041837,              0.0041837,              0.0041837
                     49,                 1.4536,                0.74089,                 1.1171,                0.87871,                0.86667,                0.88246,                 0.5735,                 1.2042,                 0.6628,                 1.1606,                0.00406,                0.00406,                0.00406
                     50,                 1.4774,                0.76211,                 1.1412,                0.83913,                    0.9,                0.89434,                0.56955,                 1.3019,                0.63661,                 1.1785,              0.0039362,              0.0039362,              0.0039362
                     51,                 1.4604,                0.74941,                 1.1125,                0.84618,                0.86667,                0.88002,                0.56245,                 1.2541,                0.67857,                 1.1595,              0.0038125,              0.0038125,              0.0038125
                     52,                 1.4401,                0.72887,                 1.1197,                0.82378,                0.83333,                0.83343,                0.52784,                 1.3654,                0.70004,                 1.1876,              0.0036888,              0.0036888,              0.0036888
                     53,                 1.4426,                0.73089,                 1.1131,                0.97916,                0.79359,                0.87648,                0.56329,                 1.0824,                0.63007,                 1.1229,               0.003565,               0.003565,               0.003565
                     54,                 1.4561,                0.73668,                 1.1273,                0.77018,                0.93333,                 0.8364,                0.56579,                 1.0769,                0.61335,                 1.1248,              0.0034413,              0.0034413,              0.0034413
                     55,                 1.3983,                 0.7331,                 1.1206,                0.84779,                  0.878,                0.86893,                0.56748,                 1.2352,                0.64254,                  1.158,              0.0033175,              0.0033175,              0.0033175
                     56,                 1.4263,                0.73346,                   1.12,                0.81133,                0.89027,                0.84194,                0.56199,                 1.2204,                0.67188,                  1.166,              0.0031938,              0.0031938,              0.0031938
                     57,                 1.4495,                0.74723,                 1.1233,                0.81066,                0.86667,                0.88351,                0.53676,                 1.2203,                0.65494,                 1.1832,                0.00307,                0.00307,                0.00307
                     58,                 1.4264,                0.73377,                 1.1153,                0.86942,                0.86392,                0.82627,                0.55181,                  1.154,                0.65674,                 1.1102,              0.0029462,              0.0029462,              0.0029462
                     59,                 1.4184,                0.70995,                 1.1064,                0.87558,                    0.9,                0.85074,                0.55991,                 1.1943,                0.63308,                 1.1417,              0.0028225,              0.0028225,              0.0028225
                     60,                 1.4158,                0.71015,                  1.088,                0.84347,                 0.8667,                0.88589,                0.56524,                 1.2771,                0.65613,                  1.153,              0.0026987,              0.0026987,              0.0026987
